"","college_lang"
"1","Pohnpeian"
"7","English"
"8","English"
"9","English"
"10","English"
"12","English"
"16","Pohnpeian"
"17","Pohnpeian"
"19","English"
"20","English"
"21","Pohnpeian"
"25","English"
"27","English"
"28","Pohnpeian"
"29","English"
"30","English"
"35","Pohnpeian"
"36","English"
"39","English"
"41","English"
"42","English"
"43","English"
"48","English"
"50","English"
"51","English"
"62","English"
"65","English"
"67","English"
"68","English"
"69","English"
"70","English"
"71","English"
"75","English"
"79","English"
"80","English"
"81","English"
"85","Pohnpeian"
"87","English"
"88","English"
"89","Pohnpeian"
"90","Pohnpeian"
"91","English"
"92","Pohnpeian"
"93","Pohnpeian"
"94","English"
"96","English"
"97","English"
"98","English"
"99","English"
"101","English"
"103","English"
"104","English"
"106","English"
"109","English"
"113","English"
"117","English"
"118","English"
"119","English"
"120","English"
"122","English"
"123","English"
"125","English"
"126","English"
"127","English"
"128","English"
"129","English"
"130","English"
"131","English"
"133","English"
"135","English"
"136","Tagalog"
"139","English"
"140","English"
"141","English"
"143","Pohnpeian"
"148","English"
"153","English"
"154","Pohnpeian"
"156","Pohnpeian"
"162","English"
"163","English"
"164","English"
"165","English"
"166","English"
"167","English"
"168","English"
"169","Tagalog"
"170","English"
"171","English"
"172","English"
"173","English"
"174","English"
"175","English"
"176","English"
"177","English"
"178","English"
"179","English"
"180","English"
"181","English"
"182","English"
"183","English"
"184","English"
"185","Finnish"
"186","English"
"187","English"
"188","English"
"189","English"
"190","English"
"192","English"
"193","English"
"194","English"
"195","English"
"196","English"
"197","English"
"198","English"
"199","English"
"200","English"
"201","English"
"202","English"
"203","English"
"204","English"
"205","English"
"206","English"
"207","English"
"209","English"
"210","English"
"211","English"
"212","English"
"213","English"
"214","English"
"215","English"
"216","Kosraean"
"217","English"
"218","English"
"219","English"
"220","English"
"221","English"
"222","English"
"223","English"
"224","English"
"226","English"
"227","English"
"228","English"
"229","English"
"230","Pohnpeian"
"232","English"
"233","English"
"235","English"
"236","English"
"237","English"
"238","Pohnpeian"
"241","English"
"242","English"
"243","English"
"244","English"
"246","English"
"247","English"
"248","English"
"249","English"
"250","English"
"251","English"
"253","English"
"254","English"
"255","English"
"256","English"
"257","English"
"259","English"
"261","English"
"263","English"
"264","English"
"265","English"
"266","English"
"268","English"
"270","Urdu"
"272","English"
"273","English"
"275","English"
"276","English"
"277","English"
"278","English"
"279","English"
"280","English"
"281","English"
"282","English"
"283","English"
"284","English"
"285","English"
"286","English"
"287","English"
"288","English"
"290","English"
"291","English"
"292","English"
"293","English"
"294","English"
"295","English"
"296","English"
"297","English"
"298","English"
"299","English"
"300","English"
"301","English"
"322","English"
"329","English"
"336","English"
"386","English"
"391","English"
"393","English"
"394","English"
"404","Japanese"
"437","English"
"444","English"
"455","English"
"457","English"
"466","Tagalog"
"470","English"
"491","Pohnpeian"
"517","English"
"531","English"
"549","Pohnpeian"
"566","Tagalog"
"571","English"
"583","Pohnpeian"
"586","Pohnpeian"
"597","Pohnpeian"
"738","Pohnpeiaan"
"884","Tagalog"
