Language,Pohnpeian,Kosraean,Marshallese,Chuukese,Yapese,Mwokilese,Pingelapese,Palauan,Mortlockese,Nukuoran,Kapingamarangi,Ulithian,Woleaian,Satawalese,Ngatikese
Pohnpeian,0,0.743,0.675,0.639,0.883,0.377,0.292,0.9,0.62,0.85,0.86,0.68,0.69,0.69,0.12
Kosraean,0.743,0,0.7,0.65,0.85,0.793,0.713,0.9,0.66,0.85,0.84,0.7,0.7,0.7,0.7
Marshallese,0.675,0.7,0,0.8,0.87,0.605,0.645,0.91,0.81,0.85,0.8,0.8,0.78,0.78,0.67
Chuukese,0.639,0.65,0.8,0,0.88,0.689,0.609,0.92,0.13,0.85,0.8,0.41,0.33,0.33,0.65
Yapese,0.883,0.85,0.87,0.88,0,0.89,0.89,0.95,0.89,0.9,0.9,0.9,0.89,0.88,0.89
Mwokilese,0.377,0.793,0.605,0.689,0.89,0,0.25,0.9,0.67,0.85,0.85,0.69,0.72,0.69,0.38
Pingelapese,0.292,0.713,0.645,0.609,0.89,0.25,0,0.9,0.62,0.85,0.86,0.68,0.71,0.69,0.31
Palauan,0.9,0.9,0.91,0.92,0.89,0.9,0.9,0,0.91,0.95,0.96,0.91,0.96,0.96,0.9
Mortlockese,0.62,0.66,0.81,0.13,0.89,0.67,0.62,0.91,0,0.85,0.85,0.39,0.33,0.29,0.67
Nukuoran,0.85,0.85,0.85,0.85,0.9,0.85,0.85,0.95,0.85,0,0.23,0.85,0.96,0.85,0.85
Kapingamarangi,0.86,0.84,0.8,0.8,0.9,0.85,0.86,0.96,0.85,0.23,0,0.23,0.98,0.85,0.85
Ulithian,0.68,0.7,0.8,0.41,0.9,0.69,0.68,0.91,0.39,0.85,0.85,0,0.18,0.25,0.69
Woleaian,0.7,0.71,0.78,0.38,0.89,0.72,0.71,0.96,0.33,0.96,0.98,0.18,0,0.14,0.73
Satawalese,0.69,0.7,0.78,0.33,0.88,0.69,0.69,0.96,0.29,0.85,0.85,0.25,0.14,0,0.69
Ngatikese,0.12,0.7,0.67,0.65,0.89,0.38,0.31,0.9,0.67,0.85,0.85,0.69,0.73,0.69,0
