place,latitude,longitude
Nahnpohnmal,6.947,158.193
Mabusi,6.963,158.209
Palikir,6.92,158.158
Ipat,6.954,158.194
Nett,6.956,158.206
Awak Pah,6.956,158.245
Awak Powe,6.959,158.249
Kolonia,6.964,158.208
Wapar,6.817,158.297
Madolenihmw,6.889,158.291
Tomwoarolong,6.848,158.16
Awak,6.953,158.24
Sapwohn,6.969,158.191
Dolonier,6.95,158.2
Kipar,6.821,158.183
Soledi,6.959,158.185
Pehleng,6.877,158.164
Kahmar,6.947,158.226
Kitti,6.866,158.172
Enipein Pah,6.803,158.206
Sapwalap,6.888,158.292
Wone,6.814,158.241
Roie,6.97,158.177
Elieliwi,6.872,158.289
Eir,6.98,158.193
Uh,6.941,158.273
Likinikel,6.967,158.212
Mwalok,6.969,158.197
Sekere,6.936,158.182
Danpei,6.978,158.193
Eirike,6.925,158.218
Alauso,6.836,158.152
Lewetik,6.917,158.144
Enipein,6.813,158.216
Sokehs,6.95,158.189
Salapwuk,6.853,158.183
Dolekei,6.952,158.237
Paies_Kitti,6.904,158.166
Paies_Sokehs,6.908,158.164
Chinatown,6.964,158.214
Pwudoi,6.848,158.158
Nanmand,6.831,158.175
Diadi,6.833,158.154
Nankewi,6.944,158.183
Poatoapoat,6.829,158.157
Dien,6.883,158.164
Rohnkitti,6.8173,158.169
Seinwar,6.8386,158.154
Paliapailong,6.84,158.155
Wakamodo,6.875,158.161
Sekeren,6.8559,158.156
Nahnpohnmal_sokehs,6.939,158.184
Pihs,6.876,158.295
Pahnsapw_nett,6.943,158.224
Ipwitek,6.9118,158.29796
Dolonier_Sokehs,6.948,158.1884
Ipat_Sokehs,6.9573,158.1963
Palikir_Kitti,6.908791,158.161891
Rohi_Uh,6.944,158.276
Paliais,6.955,158.2219
Pohnrakied,6.9626,158.2056
Takaieu_Uh,6.933,158.289
Souna,6.9322,158.2527
Alohkapw,6.9143,158.3003
Nanpil,6.9199,158.211
Doaroapop,6.956,158.206
Mwudok,6.7922,158.2535
Nanpahlap,6.816726,158.2833
Marahu,6.8436,158.1579
Pwoaipwoai,6.8555609,158.1935963
Palipohn,6.9656,158.2343
Temwen,6.847,158.316
Pohnauleng,6.853,158.2922
Nanuh,6.9515,158.275639
Sapwehrek,6.8423,158.212
Saladak,6.931,158.278
Lukopoas,6.954268,158.27721
Pahnimwinsapw,6.960096,158.228038
Meitik,6.938816,158.230215
Lukop,6.889856,158.320268
Iosmaru,6.943451,158.260873
